P_GPa,delta_f_shift_MHz,split_MHz,delta_f_unc_MHz,split_unc_MHz
0.0,0.0,0.0,0.0,0.0
0.20512820512820512,-0.6153846153846153,0.0,0.09173612215383753,0.0
0.41025641025641024,-1.2307692307692306,0.0,0.18347224430767506,0.0
0.6153846153846154,-1.8461538461538467,0.0,0.2752083664615126,0.0
0.8205128205128205,-2.4615384615384612,0.0,0.3669444886153501,0.0
1.0256410256410255,-3.0769230769230766,0.0,0.4586806107691876,0.0
1.2307692307692308,-3.6923076923076934,0.0,0.5504167329230252,0.0
1.435897435897436,-4.307692307692308,0.0,0.6421528550768628,0.0
1.641025641025641,-4.9230769230769225,0.0,0.7338889772307002,0.0
1.846153846153846,-5.538461538461538,0.0,0.8256250993845378,0.0
2.051282051282051,-6.153846153846153,0.0,0.9173612215383752,0.0
2.2564102564102564,-6.76923076923077,0.0,1.0090973436922128,0.0
2.4615384615384617,-7.384615384615387,0.0,1.1008334658460504,0.0
2.6666666666666665,-8.0,0.0,1.1925695879998879,0.0
2.871794871794872,-8.615384615384617,0.0,1.2843057101537256,0.0
3.0769230769230766,-9.230769230769232,0.0,1.376041832307563,0.0
3.282051282051282,-9.846153846153845,0.0,1.4677779544614005,0.0
3.4871794871794872,-10.461538461538462,0.0,1.5595140766152382,0.0
3.692307692307692,-11.076923076923077,0.0,1.6512501987690755,0.0
3.8974358974358974,-11.692307692307693,0.0,1.742986320922913,0.0
4.102564102564102,-12.307692307692307,0.0,1.8347224430767504,0.0
4.3076923076923075,-12.923076923076923,0.0,1.9264585652305881,0.0
4.512820512820513,-13.53846153846154,0.0,2.0181946873844256,0.0
4.717948717948718,-14.153846153846157,0.0,2.1099308095382634,0.0
4.923076923076923,-14.769230769230774,0.0,2.2016669316921007,0.0
5.128205128205128,-15.384615384615383,0.0,2.293403053845938,0.0
5.333333333333333,-16.0,0.0,2.3851391759997758,0.0
5.538461538461538,-16.615384615384617,0.0,2.4768752981536135,0.0
5.743589743589744,-17.230769230769234,0.0,2.5686114203074513,0.0
5.948717948717949,-17.846153846153843,0.0,2.660347542461288,0.0
6.153846153846153,-18.461538461538463,0.0,2.752083664615126,0.0
6.358974358974359,-19.076923076923073,0.0,2.843819786768963,0.0
6.564102564102564,-19.69230769230769,0.0,2.935555908922801,0.0
6.769230769230769,-20.307692307692307,0.0,3.0272920310766387,0.0
6.9743589743589745,-20.923076923076923,0.0,3.1190281532304764,0.0
7.179487179487179,-21.538461538461533,0.0,3.2107642753843133,0.0
7.384615384615384,-22.153846153846153,0.0,3.302500397538151,0.0
7.589743589743589,-22.769230769230766,0.0,3.3942365196919884,0.0
7.794871794871795,-23.384615384615387,0.0,3.485972641845826,0.0
8.0,-24.0,0.0,3.577708763999664,0.0
